"","ISO","lang.family.x","lang.genus.x","native.country.x","native.country.area.x","language.x","lang.family.y","lang.genus.y","native.country.y","native.country.area.y","language.y","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log"
"821","dni","Trans-New Guinea","Dani","Indonesia","Asia","danilowergrandvalley","Trans-New Guinea","Dani","Indonesia","Asia","danilowergrandvalley",-4.33,138.83,29090,146500,7,18.9417,170,41.9,0.466,12,4.30103
"822","kvo","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","dobel","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","dobel",-6.25,134.67,8951,358761,3,NA,NA,NA,NA,NA,3.90309
"823","tds","Lakes Plain","Lakes Plain","Indonesia","Asia","doutai","Lakes Plain","Lakes Plain","Indonesia","Asia","doutai",-3.33,138.17,4755,58344,0,NA,NA,NA,NA,NA,1.8451
"824","eip","Trans-New Guinea","Mek","Indonesia","Asia","eipo","Trans-New Guinea","Mek","Indonesia","Asia","eipo",-4.33,140.08,15895,118863,4,NA,NA,NA,NA,NA,3.47712
"825","ekg","Trans-New Guinea","Wissel Lakes-Kemandoga","Indonesia","Asia","ekari","Trans-New Guinea","Wissel Lakes-Kemandoga","Indonesia","Asia","ekari",-3.83,135.5,300585,600560,9,NA,NA,NA,NA,NA,5
"826","mrf","Morwap","Morwap","Indonesia","Asia","elseng","Morwap","Morwap","Indonesia","Asia","elseng",-3,140.5,94305,295135,9,26.6083,169.271,64.709,0.2476,12,2.47712
"827","emb","Austronesian","Sundic","Indonesia","Asia","embaloh","Austronesian","Sundic","Indonesia","Asia","embaloh",1.17,112.33,474776,617430,11,NA,NA,NA,NA,NA,4
"828","eno","Austronesian","Sundic","Indonesia","Asia","enggano","Austronesian","Sundic","Indonesia","Asia","enggano",-5.42,102.25,8875,108894,1,NA,NA,NA,NA,NA,2.8451
"829","frd","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","fordata","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","fordata",-6.75,131.5,96440,884706,2,NA,NA,NA,NA,NA,4.69897
"830","gay","Austronesian","Sundic","Indonesia","Asia","gayo","Austronesian","Sundic","Indonesia","Asia","gayo",4.5,97.5,761419,506320,6,20.95,157.167,54.225,0.4523,12,5.25527
"831","gbi","West Papuan","North Halmaheran","Indonesia","Asia","galela","West Papuan","North Halmaheran","Indonesia","Asia","galela",2.42,128.33,455295,1958188,24,NA,NA,NA,NA,NA,4.89763
"832","gor","Austronesian","Sulawesi","Indonesia","Asia","gorontalo","Austronesian","Sulawesi","Indonesia","Asia","gorontalo",0.5,122,220825,1113203,6,26.9667,104.333,30.595,0.3576,12,5.95424
"833","had","West Papuan","Hatam","Indonesia","Asia","hatam","West Papuan","Hatam","Indonesia","Asia","hatam",-1,134,31931,158510,3,26.4333,217.5,83.215,0.2015,12,4.20412
"834","tmu","Lakes Plain","Lakes Plain","Indonesia","Asia","iau","Lakes Plain","Lakes Plain","Indonesia","Asia","iau",-3.17,137.5,52979,235630,13,NA,NA,NA,NA,NA,2.77815
"835","ihp","West Bomberai","West Bomberai","Indonesia","Asia","iha","West Bomberai","West Bomberai","Indonesia","Asia","iha",-2.92,132.25,38151,342963,6,NA,NA,NA,NA,NA,3.74036
"836","szp","Marind","South Birds Head","Indonesia","Asia","inanwatan","Marind","South Birds Head","Indonesia","Asia","inanwatan",-2.08,132.08,9851,0,2,NA,NA,NA,NA,NA,3.04139
"837","ind","Austronesian","Sundic","Indonesia","Asia","indonesian","Austronesian","Sundic","Indonesia","Asia","indonesian",0,106,NA,NA,NA,NA,NA,NA,NA,NA,7.36443
"838","irh","Austronesian","South Halmahera - West New Guinea","Indonesia","Asia","irarutu","Austronesian","South Halmahera - West New Guinea","Indonesia","Asia","irarutu",-3,133.5,130201,836602,8,NA,NA,NA,NA,NA,3.60206
"839","srl","Kwerba","Kwerba","Indonesia","Asia","isirawa","Kwerba","Kwerba","Indonesia","Asia","isirawa",-1.83,138.5,24696,120621,4,NA,NA,NA,NA,NA,3.25527
"840","jav","Austronesian","Sundic","Indonesia","Asia","javanese","Austronesian","Sundic","Indonesia","Asia","javanese",-7,111,4120100,4188395,80.5,25.8909666666667,190.291666666667,95.824,0.455633333333333,10.5351666666667,7.87799
"841","kge","Austronesian","Sundic","Indonesia","Asia","kayuagung","Austronesian","Sundic","Indonesia","Asia","kayuagung",-3.17,104.92,3926,47094,4,NA,NA,NA,NA,NA,4.65321
"842","bpp","Kaure","Kaure","Indonesia","Asia","kaure","Kaure","Kaure","Indonesia","Asia","kaure",-3.42,140.08,48674,208392,5,NA,NA,NA,NA,NA,2.65321
"843","xbr","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kambera","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kambera",-9.83,120.17,741714,574408,3,27.1667,75,74.89,0.8083,5,5.37028
"844","ksx","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kedang","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kedang",-8.25,123.75,4315,93016,3,NA,NA,NA,NA,NA,4.47712
"845","kei","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kei","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","kei",-5.83,132.92,25661,1463779,2,NA,NA,NA,NA,NA,4.92942
"846","xxk","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","keo","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","keo",-8.83,121.25,3595,70016,2,NA,NA,NA,NA,NA,4.60206
"847","kig","Kolopom","Kolopom","Indonesia","Asia","kimaghama","Kolopom","Kolopom","Indonesia","Asia","kimaghama",-8,138.5,884139,770241,7,NA,NA,NA,NA,NA,3.47712
"848","kvd","Trans-New Guinea","Timor-Alor-Pantar","Indonesia","Asia","kuiinindonesia","Trans-New Guinea","Timor-Alor-Pantar","Indonesia","Asia","kuiinindonesia",-8.43,124.55,1380,163436,8,NA,NA,NA,NA,NA,3.62757
"849","kjc","Austronesian","Sulawesi","Indonesia","Asia","konjo","Austronesian","Sulawesi","Indonesia","Asia","konjo",-5.47,120.33,10998,115557,3,NA,NA,NA,NA,NA,5.09691
"850","bqy","Sign Languages","","Indonesia","Asia","katakolok","Sign Languages","","Indonesia","Asia","katakolok",-8.25,115.17,NA,NA,NA,27.1167,144.167,113.866,0.7457,8,3.34242
"851","kiy","Lakes Plain","Lakes Plain","Indonesia","Asia","kirikiri","Lakes Plain","Lakes Plain","Indonesia","Asia","kirikiri",-3,137.17,40270,220652,10,NA,NA,NA,NA,NA,2.39794
"852","lew","Austronesian","Sulawesi","Indonesia","Asia","kaili","Austronesian","Sulawesi","Indonesia","Asia","kaili",-1.17,120,485619,1096437,18,26.975,55.667,25.489,0.5294,6,5.36829
