"","ISO","lang.family","lang.genus","native.country","native.country.area","language","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log","morphological.complexity","complexity.bias","p.complexity.bias","mono.complexity.bias","open.complexity.bias","morphological.complexity.ld","propPresent","adjusted.complexity","ratio.L2.L1","scaled.LDT.ZM","scaled.LDT.H","scaled.LDT.TTR","stock","region","n.L1.speakers","n.L2.speakers","TTR.LDT","n.phonemes","n.consonants","n.vowels","n.sonorants","n.obstruents","n.monophthongs","n.qual.monophthongs","n.tones","mean.length","mean.dependency.length","information.density","syllable.rate","information.rate","mean.aoa","normalized.vowel.diversity","normalized.consonant.diversity","normalized.tone.diversity","normalized.phoneme.diversity","distance.from.origin"
"1694","kpv","Uralic","Finnic","Russia","Eurasia","komizyrian",62,50,19579046,4232895,5,-1.1217,47.458,16.601,12.0652,4.4,5.41863,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,29,7,8,21,7,7,0,3.79166666666667,NA,NA,NA,NA,NA,1.3900889,0.9579338,-0.7687792,0.526414511,8381.375
"1695","mrj","Uralic","Finnic","Russia","Eurasia","marihill",57,58,99347,150578,3,NA,NA,NA,NA,NA,4.81954,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1696","mdf","Uralic","Finnic","Russia","Eurasia","mordvinmoksha",54,44,1155689,1886612,3,3.5333,48.333,14.119,11.6459,5,5.47262,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03153153153153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1697","mns","Uralic","Ugric","Russia","Eurasia","mansi",62,62,681721,1442400,4,-1.9167,45.583,19.294,13.2455,4,3.50297,13,NA,NA,NA,NA,-2,0.33333,-0.66666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1698","neg","Altaic","Tungusic","Russia","Eurasia","negidal",53,139,569505,669911,3,NA,NA,NA,NA,NA,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1699","yrk","Uralic","Samoyedic","Russia","Eurasia","nenets",69,72,10370346,21575091,7,-2.5069,39.59,15.998,11.2507,3.3333,4.427,19,NA,NA,NA,NA,-9,0.83333,-7.49997,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,26,8,11,15,8,5,0,4.675,NA,NA,NA,NA,NA,-0.4846364,0.9579338,-0.7687792,-0.098493936,9208.659
"1700","nio","Uralic","Samoyedic","Russia","Eurasia","nganasan",71,93,2317329,3603232,6,NA,NA,NA,NA,NA,2.69897,13,NA,NA,NA,NA,-3,0.33333,-0.99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,20,9,11,9,9,9,0,NA,NA,NA,NA,NA,NA,1.3900889,-0.7169629,-0.7687792,-0.031884379,10016.63
"1701","niv","Nivkh","Nivkh","Russia","Eurasia","nivkh",53.33,142,804891,1566828,4,-2.3833,53.167,21.561,14.5202,4,3.03703,18,NA,NA,NA,NA,-9,0.95833,-8.62497,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,35,9,11,24,9,5,0,4.03641141141141,NA,NA,NA,NA,NA,-0.4846364,0.9579338,0.54663194,0.33997643,12770.47
"1702","oac","Altaic","Tungusic","Russia","Eurasia","oroch",50.33,137.5,394710,648983,3,NA,NA,NA,NA,NA,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1703","cjs","Altaic","Turkic","Russia","Eurasia",NA,53,88,1405940,911192,5,NA,NA,NA,NA,NA,3.97525,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98717948717949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
