iso_639_3,fileName,Language,Stock,Stock_coarse,Region,Region_coarse,L1_speakers,L2_speakers,RatioL2,PercL2,LDT,LDTinv,LDTscaled,measure,text,genus_wals,family_wals
tsn,udhr_tsn.csv,Tswana ,Benue-Congo,Benue-Congo,S Africa,S Africa,4460850,175000,0.039230192,0.0377,7.06321931,7.06321931,-1.235524376,H,UDHR,Bantoid,Niger-Congo
tsn,udhr_tsn.csv,Tswana ,Benue-Congo,Benue-Congo,S Africa,S Africa,4460850,175000,0.039230192,0.0377,0.236986301,0.236986301,-1.02309593,TTR,UDHR,Bantoid,Niger-Congo
mar,udhr_mar.csv,Marathi Maharashtra,Indo-European,Indo-European,Indic,Indic,70012927,3000000,0.04284923,0.0411,0.692076771,0.307923229,1.040269827,a,UDHR,Indic,Indo-European
mar,udhr_mar.csv,Marathi Maharashtra,Indo-European,Indo-European,Indic,Indic,70012927,3000000,0.04284923,0.0411,8.687520185,8.687520185,1.250896269,H,UDHR,Indic,Indo-European
mar,udhr_mar.csv,Marathi Maharashtra,Indo-European,Indo-European,Indic,Indic,70012927,3000000,0.04284923,0.0411,0.499684144,0.499684144,0.995423194,TTR,UDHR,Indic,Indo-European
nya,zipf_stats_nya-x-bible-chuchewa-v1.txt,chuchewa,Benue-Congo,Benue-Congo,S Africa,S Africa,8979850,400000,0.044544174,0.042644605,1.015392443,-0.015392443,0.984480328,a,PBC,,Niger-Congo
nya,zipf_stats_nya-x-bible-chuchewa-v1.txt,chuchewa,Benue-Congo,Benue-Congo,S Africa,S Africa,8979850,400000,0.044544174,0.042644605,9.389183601,9.389183601,1.191760814,H,PBC,,Niger-Congo
nya,zipf_stats_nya-x-bible-chuchewa-v1.txt,chuchewa,Benue-Congo,Benue-Congo,S Africa,S Africa,8979850,400000,0.044544174,0.042644605,0.203571101,0.203571101,1.423963964,TTR,PBC,,Niger-Congo
nya,udhr_nya_chechewa.csv,Nyanja (Chichewa),Benue-Congo,Benue-Congo,S Africa,S Africa,8979850,400000,0.044544174,0.0426,1.068474153,-0.068474153,-0.750920355,a,UDHR,Bantoid,Niger-Congo
nya,udhr_nya_chechewa.csv,Nyanja (Chichewa),Benue-Congo,Benue-Congo,S Africa,S Africa,8979850,400000,0.044544174,0.0426,7.544581869,7.544581869,-0.498672096,H,UDHR,Bantoid,Niger-Congo
nya,udhr_nya_chechewa.csv,Nyanja (Chichewa),Benue-Congo,Benue-Congo,S Africa,S Africa,8979850,400000,0.044544174,0.0426,0.300946372,0.300946372,-0.531639187,TTR,UDHR,Bantoid,Niger-Congo
est,freqlist_estonian.csv,estonian,Uralic,Uralic,Inner Asia,Inner Asia,1274330,67000,0.052576648,0.049950422,1.084298955,-0.084298955,1.045337018,a,EPC,Finnic,Ura
est,freqlist_estonian.csv,estonian,Uralic,Uralic,Inner Asia,Inner Asia,1274330,67000,0.052576648,0.049950422,12.21565101,12.21565101,1.341256381,H,EPC,Finnic,Ura
est,freqlist_estonian.csv,estonian,Uralic,Uralic,Inner Asia,Inner Asia,1274330,67000,0.052576648,0.049950422,0.035434669,0.035434669,1.497913366,TTR,EPC,Finnic,Ura
est,udhr_est.csv,Estonian,Uralic,Uralic,Inner Asia,Inner Asia,1274330,67000,0.052576648,0.05,0.691065945,0.308934055,1.045080122,a,UDHR,Finnic,Uralic
est,udhr_est.csv,Estonian,Uralic,Uralic,Inner Asia,Inner Asia,1274330,67000,0.052576648,0.05,8.419487433,8.419487433,0.84060149,H,UDHR,Finnic,Uralic
